location,measure,sample date,value
Achara,Ammonium,15-Jan-09,0.552
Achara,Ammonium,13-Feb-09,0.086
Achara,Ammonium,19-Mar-09,0.07
Achara,Ammonium,17-Apr-09,0.125
Achara,Ammonium,17-May-09,0.211
Achara,Ammonium,12-Jun-09,0.016
Achara,Ammonium,11-Jul-09,0.039
Achara,Ammonium,13-Aug-09,0.093
Achara,Ammonium,10-Sep-09,0.132
Achara,Ammonium,11-Oct-09,0.031
Achara,Ammonium,19-Nov-09,0.39
Achara,Ammonium,10-Dec-09,0.234
Achara,Ammonium,16-Jan-10,0.451
Achara,Ammonium,11-Feb-10,0.07
Achara,Ammonium,20-Feb-10,0.062
Achara,Ammonium,21-Feb-10,0.062
Achara,Ammonium,13-Mar-10,0.528
Achara,Ammonium,19-Mar-10,0.023
Achara,Ammonium,07-Apr-10,0.023
Achara,Ammonium,08-Apr-10,0.07
Achara,Ammonium,10-Apr-10,0.031
Achara,Ammonium,16-Apr-10,0.28
Achara,Ammonium,15-May-10,0.093
Achara,Ammonium,20-May-10,0.218
Achara,Ammonium,17-Jun-10,0.047
Achara,Ammonium,30-Jun-10,0.006
Achara,Ammonium,08-Jul-10,0.085
Achara,Ammonium,16-Jul-10,0.085
Achara,Ammonium,12-Aug-10,0.163
Achara,Ammonium,18-Aug-10,0.101
Achara,Ammonium,09-Sep-10,0.039
Achara,Ammonium,17-Sep-10,0.109
Achara,Ammonium,14-Oct-10,0.023
Achara,Ammonium,16-Oct-10,0.016
Achara,Ammonium,22-Oct-10,0.148
Achara,Ammonium,13-Nov-10,0.054
Achara,Ammonium,19-Nov-10,0.109
Achara,Ammonium,10-Dec-10,0.155
Achara,Ammonium,11-Dec-10,0.155
Achara,Ammonium,21-Jan-11,0.105
Achara,Ammonium,22-Jan-11,0.219
Achara,Ammonium,11-Feb-11,0.216
Achara,Ammonium,18-Feb-11,0.139
Achara,Ammonium,18-Mar-11,0.157
Achara,Ammonium,31-Mar-11,0.038
Achara,Ammonium,16-Apr-11,0
Achara,Ammonium,22-Apr-11,0.028
Achara,Ammonium,13-May-11,0.108
Achara,Ammonium,27-May-11,0.073
Achara,Ammonium,11-Jun-11,0.076
Achara,Ammonium,17-Jun-11,0.041
Achara,Ammonium,09-Jul-11,0.028
Achara,Ammonium,14-Jul-11,0
Achara,Ammonium,04-Aug-11,0.069
Achara,Ammonium,11-Aug-11,0.027
Achara,Ammonium,14-Sep-11,0
Achara,Ammonium,28-Sep-11,0
Achara,Ammonium,08-Oct-11,0.078
Achara,Ammonium,13-Oct-11,0.097
Achara,Ammonium,11-Nov-11,0.279
Achara,Ammonium,26-Nov-11,0.041
Achara,Ammonium,10-Dec-11,0.089
Achara,Ammonium,15-Dec-11,0.053
Achara,Ammonium,20-Jan-12,0.146
Achara,Ammonium,21-Jan-12,0.131
Achara,Ammonium,10-Feb-12,0.275
Achara,Ammonium,17-Feb-12,0.097
Achara,Ammonium,15-Mar-12,0.912
Achara,Ammonium,17-Mar-12,0.322
Achara,Ammonium,21-Apr-12,0
Achara,Ammonium,29-Apr-12,0
Achara,Ammonium,19-May-12,0
Achara,Ammonium,27-May-12,0.15
Achara,Ammonium,16-Jun-12,0.288
Achara,Ammonium,28-Jun-12,0.065
Achara,Ammonium,08-Jul-12,0.066
Achara,Ammonium,21-Jul-12,0.035
Achara,Ammonium,16-Aug-12,0
Achara,Ammonium,26-Aug-12,0
Achara,Ammonium,21-Sep-12,0
Achara,Ammonium,27-Sep-12,0.08
Achara,Ammonium,18-Oct-12,0.035
Achara,Ammonium,21-Oct-12,0.34
Achara,Ammonium,16-Nov-12,0.106
Achara,Ammonium,22-Nov-12,0.09
Achara,Ammonium,07-Dec-12,0.107
Achara,Ammonium,10-Dec-12,0.153
Achara,Ammonium,17-Jan-13,0.114
Achara,Ammonium,15-Feb-13,0
Achara,Ammonium,14-Mar-13,0.037
Achara,Ammonium,12-Apr-13,0.036
Achara,Ammonium,16-May-13,0.045
Achara,Ammonium,14-Jun-13,0.073
Achara,Ammonium,18-Jul-13,0.04
Achara,Ammonium,16-Aug-13,0.033
Achara,Ammonium,21-Sep-13,0.067
Achara,Ammonium,18-Oct-13,0
Achara,Ammonium,15-Nov-13,0.041
Achara,Ammonium,13-Dec-13,0.421
Achara,Ammonium,16-Jan-14,0.43
Achara,Ammonium,15-Feb-14,0.216
Achara,Ammonium,19-Mar-14,0
Achara,Ammonium,18-Apr-14,0.215
Achara,Ammonium,16-May-14,0.051
Achara,Ammonium,20-Jun-14,0.087
Achara,Ammonium,18-Jul-14,0.037
Achara,Ammonium,16-Aug-14,0
Achara,Ammonium,19-Sep-14,0.026
Achara,Ammonium,17-Oct-14,0.062
Achara,Ammonium,21-Nov-14,0.15
Achara,Ammonium,12-Dec-14,0.216
Achara,Ammonium,17-Jan-15,0.316
Achara,Ammonium,21-Feb-15,0
Achara,Ammonium,13-Mar-15,0.049
Achara,Ammonium,18-Apr-15,0.055
Achara,Ammonium,15-May-15,0.21
Achara,Ammonium,20-Jun-15,0.35
Achara,Ammonium,16-Jul-15,0.063
Achara,Ammonium,22-Aug-15,0.108
Achara,Ammonium,18-Sep-15,0.065
Achara,Ammonium,16-Oct-15,0.073
Achara,Ammonium,20-Nov-15,0.11
Achara,Ammonium,09-Dec-15,0.18
Achara,Ammonium,15-Jan-16,0.13
Achara,Ammonium,12-Feb-16,0.06
Achara,Ammonium,12-Mar-16,0.04
